1;beef (meat);180
2;onions;43
3;strong coffee;2
4;carrots;33
5;prunes;220
6;oil;750
7;sour cream;115
8;greens;41
9;salt
10;oil;900
11;mayonnaise;625
12;cheese "Roquefort";370
13;boiled rice;337
14;tomato sauce;20
15;ground black pepper
16;beef (tenderloin);180
17;canned pickled peppers;19
18;garlic;60
19;raisins;270
20;rice;337
21;fried bananas;90
22;egg;65
23;dry white wine;85
24;speck;365
25;boiled tongue;165
26;mushrooms;27
27;melted lard;885
28;potatoes;60
29;salad;11
30;tomatoes;20
31;horseradish root;49
32;beef (minced);90
33;flour;348
34;margarine;745
35;lamb;316
36;tomato paste;20
37;broth;30
38;fat;930
39;bay leaf
40;spices
41;meat broth;30
42;white bread;206
43;a boiled egg;65
44;mutton ham;202
45;beer;42
46;smoked bacon;365
47;cheese;360
48;walnut kernel;650
49;olive oil;824
50;vinegar 3%;11
51;black pepper
52;pork (meat);265
53;green onion;18
54;olives;351
55;bread;206
56;pepper
57;beef;180
58;beans;328
59;zest of 1 orange;45
60;russian sauce;93
61;red wine;150
62;white bread;206
63;lard;770
64;basic white sauce;93
65;apple green;45
66;sweet pepper;19
67;vermouth
68;lemon;30
69;black marinated pepper
70;beans, canned;328
71;eggplant;28
72;dried apricots;290
73;water
74;pomegranate;52
75;soy sauce;93
76;lemon juice;30
77;cooked lamb;316
78;melted butter;885
79;dried herbs
80;green beans;328
81;ham;365
82;white sauce;93
83;pickles;15
84;pomegranate juice;52
85;garnet grains;52
86;vinegar 3%;11
87;lamb kidney;66
88;stuffing;200
89;milk;60
90;bread crumbs
91;tangerines;41
92;cheese;226
93;smoked brisket;475
94;sauce "Provencal";93
95;vinegar;11
96;sugar;295
97;veal liver;100
98;bananas;90
99;white wine;150
100;beef tongue;165
101;fresh mushrooms;25
102;peeled walnuts;650
103;beef broth;30
104;leek chopped for sauce
105;pepper for sauce
106;red wine for sauce;150
107;garnish (3-4 types of vegetables)
108;lamb breast or shoulder blade;316
109;cabbage;23
110;celery
111;parsley root;23
112;ramson
113;crackers
114;freshly ground white pepper
115;big sausage with spices;235
116;marjoram or oregano
117;garam masala powder
118;curry powder or paste
119;beaten egg;65
120;flour for stuffing and gravy;348
121;milk and meat for sauce;60
122;concentrated apple juice for sauce
123;bouillon cube;30
124;sausages;235
125;pickled onions;18
126;dried oregano
127;minced good quality beef-fat;200
128;large boiled beets, peeled and sliced;40
129;soybean oil;900
130;yolk
131;beef liver;100
132;stale white bread;206
133;pork (loin);265
134;sodium glyutamat
135;wine;150
136;peanut butter;750
137;potato starch;60
138;vodka
139;ground nutmeg
140;ground coriander
141;sesame
142;ground red pepper
143;cream sauce with horseradish;49
144;potatoes or green beans in oil;75
145;melted fat;930
146;ground pepper
147;lamb (loin with the rib bone);316
148;cucumbers;15
149;pork or beef, or mutton (boneless loin);316
150;pork (loin with the rib bone);430
151;dried ground
152;beef (veal);200
153;lamb (leg);316
154;soybeans (pasta)
155;chili sauce or dried pepper or ginger
156;sherry supply
157;chicken cubes
158;shrimp;85
159;pasta;350
160;coconut
161;dry sherry
162;red pepper
163;orange (peel);45
164;slices
165;ginger
166;young corn, canned the cob
167;green beans;328
168;mushrooms (canned cap);25
169;meat (fillet steaks);405
170;shallot;18
171;red wine;70
172;pepper;19
173;veal;90
174;brandy
175;cream;120
176;chinese cabbage and other vegetables;23
177;packaged noodles
178;ground ginger
179;fresh mint
180;pork (minced);265
181;lamb (minced);316
182;loaf of stale
183;chili sauce;93
184;mustard
185;canned apricots;47
186;cowberry;45
187;apples;45
188;pork;265
189;cherries, pitted;53
190;starch
191;honey
192;chopped walnuts;650
193;pork (loin meat);265
194;sweet mustard
195;apple juice
