Avocado;"alligator pear," the fruit of the bone. Grows in South and Central America and the United States. The taste is close to the vegetables. The pulp is rich in oil and protein, has a pleasant taste of walnut. Avocados can be eaten raw, cook him soup, stuffed savory toppings, bake, cook meals from it.
Anise;Seeds. They are similar to caraway seeds, only flatter. Try their taste, they are like sweet licorice with urgency. Substitution: fennel.
Annatto;Seeds. are spiny pod tropical tree and look like tiny pieces of red brick. If you use these seeds in a small amount, they have almost no odor - Annatto used to color food.
Anchovies;small fishes of the family Clupeidae, known here as hamsa.Podaetsya special spicy salty brine. Used to decorate dishes for sauces, Worcestershire example, to improve the taste of pie filling.
Orange water;broth obtained by distillation of young, still closed buds orange blossom. Used for flavoring.
Artichoke;slozhnotsvetnyhyu herbaceous plant family contains many nutrients. Chvetolozhe edible part is the so-called "bump" artichoke, resembling pine. Artichokes nizkokoloriyny, but nutritious, so it's extremely useful for obesity. In cooking, consumed raw, cooked, canned form.
Baguette;long French loaf
Tub;Eight-fruits of a small evergreen tree proizrostayuschego in southwest China and northern Vietnam. One of the spices of Chinese cooking.
Basmati;variety of rice from Asia. Grain long, yellowish. Is unpolished, polished and supra. After cooking is crumbly.
Basil;leaves. As strongly scented geranium, spicy basil leaves below, and then overlapped delicate scent oils. Do spicy basil red stems, and its leaves are like tinted purple.
Lemon basil;leaves. On the palate, a mixture of lemon and basil
Yam;sweet potatoes. It is home to Malaysia. Grows in Asia, America and Africa. There are red, yellow and white sorta. Use as ordinary potatoes.
Blue;blue cheese in recipes you can replace "Roquefort"
Beans kanellini;variety of beans, you can substitute green beans.
Brazil nuts;South nut or nut pair.
Broccoli;broccoli, cauliflower subspecies.
Brussels sprouts;View cabbage with young kochanchiki solid white stem length is up to 1 meter
Bouquet garni;bunch of greens and herbs, which bind together, put in the soup, and removed after cooking. Most often it includes parsley, savory, bay leaf.
Vanilla;pod. Long, thin pods of vanilla - fruit twisted orchid. If you break the immature pod, it has no flavor. They were then treated for several months, leaving them a white fragrant bloom called vanillin.
Vanilla essence;Pure Vanilla essence is prepared by steeping vanilla pods in alcohol.
Westphalian ham;German cured ham fresh air.
Ham "sulfur";Spanish ham, sun-dried in the open air.
Grape leaves;fresh or canned grape leaves. Fresh leaves before cooking should be 2 - 3 minutes blanch and canned scalding hot water.
Cherry or grape tomatoes;dwarf varieties of tomatoes
Watercress;herbaceous plants, otherwise called watercress, horseradish garden. Are edible leaves that have a tart taste. Used only fresh, because when cooked it becomes bitter.
Worcestershire sauce;one of the most common spices in the UK, selling ready. It includes about 25 ingredients. Among them: tomato paste, nuts, mushrooms, pepper, wine, curry, lemon, vinegar, tarragon, tamarind, anchovies, etc.
Garam masala;Indian spice blend that can make their own. Used coriander seeds, cumin seeds, black pepper seeds, cardamom seeds, cloves, cinnamon sticks. All spices are roasted separately on a dry frying pan, grind in a coffee grinder. Keep garam masala should be in a glass container with a tight lid.
Carnation buds;Spicy, dry, dark red, unopened buds of the clove tree, which contain many essential oils that you can squeeze out a drop of it by clicking on the clove bud with your fingers. Substitution: Cinnamon
Glutaminat (glutamate);sodium monosodium salt of glutamic acid. Externally similar to table salt, but has punctuated the taste and aroma of dishes
Gnocchi;little Italian dumplings.
Mustard;Seeds. Yellow or white mustard seeds are relatively large, most of any melyat into powder, and then we all now prepared mustard.
Scallops;clams. Lives in the coastal zone, in the alluvial deposits of stones, on sandy soils. The most valuable and edible parts of the scallop - muscle-contactor and the mantle.
Greek yogurt;is produced based on goat milk. Its fat content of 6-8%.
Guava;Fruit of the myrtle family, like a feijoa. Grows in Brazil. The fruit has a sour taste.
Wild rice;otherwise Leers. Grown in India, USA, Canada. Color greenish-brown seeds. Bad fall apart, so wild rice is soaked overnight. When cooking Leers mixed with other varieties of rice.
Dolchelatte;soft Italian cheese
Angelica;leaves. Their smell - slightly sweet blend of liquorice and freshly mown hay. They are like the leaves of lovage, only darker and with jagged edges Substitution: lovage
Denshi Blue;Danish blue cheese in recipes you can replace "Roquefort"
Angelica;herbs Umbelliferae. The leaves and green shoots. Suitable for sauces, soups, meat dishes, confectionery.
Fresh herbs of Provence;fragrant blend of ground rosemary, thyme, basil and marjoram (popular in France)
