20218;42;Осетрина в вине;Порционные куски осетрины без кожи припустите в небольшом количестве воды с добавлением вина и мелко нарезанного лука в течение 20 мин.$Помидор мелко нарежьте, слегка обжарьте в половине нормы масла и добавьте к осетрине. Припускайте все вместе еще 15 мин.$Макароны сварите в большом количестве подсоленной воды, откиньте на дуршлаг, затем прогрейте в оставшемся масле и посыпьте сыром.$При подаче осетрину выложите на блюдо, полейте бульоном, в котором она припускалась, смешанным с кетчупом, гарнируйте макаронами.$Оформите ломтиками лим.;2;35;1;13240;5700;1293;71;6;13241;154;602;9;488;;;;;;;;;;;;
20220;42;Помидоры с рыбой;На смазанную сковороду положите первый слой филе, сбрызните его соком лим., посолите, сверху положите ломтики помидоров, на них - второй слой филе. Верхний слой рыбы также сбрызните соком лим., посолите и поперчите.$Лук мелко порубите и смешайте с сырыми яйцами, молоком, мукой, зеленью и маслом. Полученной массой залейте верхний слой рыбы.$Помидоры с рыбой запекайте до румяной корочки в духовке.$При подаче выложите на лист. салата, оформите зеленью, ломтиками лимона и маслинами.;6;45;2;818;13156;25;145;57;38;103;648;9;321;8;67;11;;;;;;;;;
20221;42;Крокеты из трески;Мякоть отварной трески пропустите через мясорубку, смешайте с протертым в горячем виде картофелем, добавьте яйца, растопленное сливочное масло, соль, перец и сформуйте крокеты в виде шариков.$Обваляйте крокеты в сухарях и обжарьте в растительном масле.$Готовые крокеты уложите на лист. салата. Отдельно в соуснике подайте кетчуп.;1;40;2;13242;4052;25;1333;8542;13243;321;9;648;1059;;;;;;;;;;;;
20222;42;Рыба, тушенная с овощами;Филе рыбы нарежьте брусочками, посолите и поперчите.$Лук и коренья нарежьте соломкой. На дно смазанного маслом сотейника положите овощи, томат-пюре, обжарьте, затем уложите на них рыбные брусочки, добавьте соль, бульон и поставьте в духовку. За 5-10 мин. до готовности положите сливочное масло.$Рыбу подайте вместе с овощами, с которыми она тушилась, отдельно подайте гарнир - отварной картофель или рассыпчатую кашу. Оформите зеленью.;4;;2;9258;13244;2474;57;2183;6;13245;45;321;9;;;;;;;;;;;;
20223;42;Рыба, запеченная с соусом;Рыбу нарежьте порционными кусками, добавьте растопленное сливочное масло, немного бульона и поставьте тушить.$Приготовьте соус из подсушенной муки, растертой со сливочным маслом и разведенной рыбным бульоном. Сырые желтки взбейте с молоком, заправьте солью, добавьте вино и введите полученную смесь в соус.$Рыбу залейте соусом, посыпьте тертым сыром и запекайте в духовке.$Подавайте, оформив зеленью.;2;40;2;13246;6;38;229;1560;11544;154;5794;9;8;;;;;;;;;;;;
20224;42;Хлебцы с творогом и рыбой;Рыбу разделайте на филе и костей.$Лук и морковь нашинкуйте и обжарьте на растительном масле.$Рыбу пропустите через мясорубку с творогом и овощами. В массу введите 2 яйца, соль и все тщательно перемешайте.$Готовую массу выложите на противень или в смазанную маслом форму, поверхность выровняйте и смажьте взбитым яйцом. Запеките в духовке при 180-200 С.$При подаче хлебцы порежьте на куски, выложите на лист. салата, полейте растопленным маслом, оформите зеленью.;2;35;2;7443;13247;252;588;2302;277;8;648;9;128;;;;;;;;;;;;
20225;42;Бигус из рыбы;рыба (филе) с кожей без костей нарежьте на порционные куски, посолите, поперчите, запанируйте в муке и обжарьте в масле.$Капусту нарежьте соломкой и тушите с добавлением отварных грибов и нарезанного соломкой лука. Незадолго до готовности введите пассерованную муку, тертые яблоки и томат-пасту. Заправьте солью, сахаром, перцем, уксусом и перемешайте.$Рыбу уложите на капусту и тушите под крышкой 10-15 мин.$Подавайте, оформив зеленью.;2;35;4;9132;405;9328;2892;2;8284;12760;8;321;135;9;164;416;;;;;;;;;
20227;42;Треска, запеченная в вине и сметане;Рыбу разделайте на порционные куски с кожей без костей, натрите солью, уложите на смазанную сковороду и запекайте в духовке 20-25 мин., периодически поливая образовавшимся соком и вином.$Готовую рыбу залейте сметаной и прогрейте еще 5 мин.$Подавайте с картофелем или овощным салатом, оформив зеленью.;1;35;2;13248;13249;13250;8;32;13251;9;;;;;;;;;;;;;;;
20228;42;Рыба пикантная;Рыбу разделайте на филе с кожей без костей и нарежьте на порционные куски.$Каждый кусок надрежьте в середине, до кожи, и вложите начинку из измельченных орехов, зелени, чеснока и майонеза.$Для кляра взбейте яйца с водой и солью, добавьте муку и размешайте.$Рыбу обмакните в тесто (кляр) и обжарьте в разогретом масле. Подавайте с картофелем, овощами, лимоном, зеленью. Отдельно можно подать майонез с мелко нарезанными овощами.;8;35;2;13252;13253;3628;2168;8;13254;13255;4054;11;9;;;;;;;;;;;;
20229;42;Креветки по-сиамски;Креветок смешайте с рубленым луком, солью, уксусом, 2 чайными ложками масла и оставьте для маринования на 1 час.$Из муки, яйца и молока замесите жидкое тесто и выдержите в течение 1 часа.$Для соуса мелко нашинкованный лук (3 голов.) обжарьте на разогретом масле, добавьте имбирь, чеснок и потушите до размягчения. Чеснок удалите, добавьте в соус томатное пюре, перемешайте, посолите и поперчите.$Креветок выньте из маринада, обмакните в тесто и обжарьте во фритюре до золотистого цвета.$Подайте креветок с рассыпчатым рисом, оформив дольками лим. и зеленью. Соус подайте отдельно.;2;150;1;11075;1187;637;25;12271;4064;631;103;9;8;10952;251;1783;;;;;;;;;
